Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
9.46,0,0.5536298346,0.4613581955,0.4613581955,0.4613581955,0.4613581955,0,0,0,0,6.570955465,51.29863205,50.5518254,487002800
9.47,0,0.5535015019,0.4612512516,0.4612512516,0.4612512516,0.4612512516,0,0,0,0,6.567899557,51.28932244,50.54421369,487517600
9.48,0,0.5533734926,0.4611445771,0.4611445771,0.4611445771,0.4611445771,0,0,0,0,6.564847783,51.28000641,50.53659902,488032400
9.49,0,0.5532457924,0.4610381603,0.4610381603,0.4610381603,0.4610381603,0,0,0,0,6.561802742,51.27071031,50.52900224,488547200
9.5,0,0.5531183892,0.460931991,0.460931991,0.460931991,0.460931991,0,0,0,0,6.558763518,51.2614157,50.52140886,489062000
9.51,0,0.552991316,0.4608260967,0.4608260967,0.4608260967,0.4608260967,0,0,0,0,6.555730939,51.25214577,50.51383705,489576800
9.52,0,0.5528645395,0.4607204496,0.4607204496,0.4607204496,0.4607204496,0,0,0,0,6.552703834,51.24287205,50.50626447,490091600
9.53,0,0.5527380806,0.4606150671,0.4606150671,0.4606150671,0.4606150671,0,0,0,0,6.54968119,51.23360137,50.49869633,490606400
9.54,0,0.5526119164,0.4605099303,0.4605099303,0.4605099303,0.4605099303,0,0,0,0,6.546665466,51.22435266,50.49114768,491121200
9.55,0,0.5524860674,0.4604050562,0.4604050562,0.4604050562,0.4604050562,0,0,0,0,6.543655132,51.21510821,50.48360451,491636000
9.56,0,0.5523605246,0.4603004372,0.4603004372,0.4603004372,0.4603004372,0,0,0,0,6.540651593,51.20588073,50.47607689,492150800
9.57,0,0.5522352742,0.4601960619,0.4601960619,0.4601960619,0.4601960619,0,0,0,0,6.537652295,51.19665161,50.46855002,492665600
9.58,0,0.5521103254,0.4600919378,0.4600919378,0.4600919378,0.4600919378,0,0,0,0,6.534659802,51.18743951,50.46103874,493180400
9.59,0,0.5519856917,0.4599880764,0.4599880764,0.4599880764,0.4599880764,0,0,0,0,6.53167308,51.17822857,50.45353056,493695200
9.6,0,0.551861361,0.4598844675,0.4598844675,0.4598844675,0.4598844675,0,0,0,0,6.528691574,51.16903998,50.44604192,494210000
9.61,0,0.5517373177,0.4597810981,0.4597810981,0.4597810981,0.4597810981,0,0,0,0,6.525715752,51.15984348,50.43854931,494724800
9.62,0,0.5516135874,0.4596779895,0.4596779895,0.4596779895,0.4596779895,0,0,0,0,6.522745639,51.15066801,50.43107526,495239600
9.63,0,0.5514901458,0.4595751215,0.4595751215,0.4595751215,0.4595751215,0,0,0,0,6.519780757,51.14149572,50.42360581,495754400
9.64,0,0.5513670041,0.4594725034,0.4594725034,0.4594725034,0.4594725034,0,0,0,0,6.516822676,51.13233718,50.41614937,496269200
9.65,0,0.5512441482,0.4593701235,0.4593701235,0.4593701235,0.4593701235,0,0,0,0,6.513869199,51.12319192,50.4087053,496784000
9.66,0,0.5511216016,0.4592680013,0.4592680013,0.4592680013,0.4592680013,0,0,0,0,6.510921972,51.11404852,50.40126492,497298800
9.67,0,0.5509993414,0.4591661178,0.4591661178,0.4591661178,0.4591661178,0,0,0,0,6.507979477,51.10491373,50.3938333,497813600
9.68,0,0.5508773901,0.4590644918,0.4590644918,0.4590644918,0.4590644918,0,0,0,0,6.505043602,51.09579585,50.3864171,498328400
9.69,0,0.550755711,0.4589630925,0.4589630925,0.4589630925,0.4589630925,0,0,0,0,6.502112995,51.08668457,50.37900815,498843200
9.7,0,0.5506343148,0.458861929,0.458861929,0.458861929,0.458861929,0,0,0,0,6.499187037,51.07757711,50.3716042,499358000
9.71,0,0.5505132266,0.4587610222,0.4587610222,0.4587610222,0.4587610222,0,0,0,0,6.496267693,51.06848115,50.36421145,499872800
9.72,0,0.5503924208,0.4586603507,0.4586603507,0.4586603507,0.4586603507,0,0,0,0,6.493353632,51.05939503,50.35682846,500387600
9.73,0,0.5502719185,0.4585599321,0.4585599321,0.4585599321,0.4585599321,0,0,0,0,6.490444156,51.05031444,50.34945181,500902400
9.74,0,0.5501516879,0.4584597399,0.4584597399,0.4584597399,0.4584597399,0,0,0,0,6.487542409,51.04125216,50.34209174,501417200
9.75,0,0.550031748,0.45835979,0.45835979,0.45835979,0.45835979,0,0,0,0,6.484643759,51.03219168,50.33473492,501932000
