#time,alt,vx,vy,vz,wx,wy,wz,thetax,thetay,thetaz,windx,windy,u
6.8,4375.13,346.476,64.4313,-2.03396,0,-0.00220136,0.0265886,-0.000318809,-0.00602343,-0.00509321,-0.535813,30.4819,0
6.85,4392.42,344.58,63.937,-2.05956,0,-0.00189515,0.0298427,-0.000327384,-0.00612539,-0.00368211,-1.32145,28.2856,0
6.9,4409.61,342.698,63.3978,-2.08284,0,-0.00196776,0.0323882,-0.000336991,-0.00622145,-0.00212603,2.9112,34.643,0
6.95,4426.7,340.828,62.8136,-2.10804,0,-0.00215971,0.0357582,-0.00034768,-0.00632407,-0.000422011,4.22655,25.8515,0
7,4443.69,338.972,62.1837,-2.13159,0,-0.0018209,0.0384792,-0.000359514,-0.00642293,0.00143429,-1.71249,31.6324,0
7.05,4460.59,337.127,61.512,-2.14965,0,-0.00154847,0.041479,-0.000372443,-0.00650644,0.00343363,-0.914446,28.0999,0
7.1,4477.39,335.295,60.7995,-2.16031,0,-0.000976405,0.0441676,-0.000386449,-0.00656874,0.00557518,-4.35045,30.5334,0
7.15,4494.09,333.473,60.0514,-2.1649,0,-0.000841953,0.0466122,-0.000401412,-0.0066133,0.00784507,0.619083,32.1567,0
7.2,4510.69,331.661,59.2627,-2.164,0,-0.000336366,0.0500157,-0.00041743,-0.00664176,0.0102612,-3.48689,21.5643,0
7.25,4527.19,329.861,58.4286,-2.15729,0,-0.000147955,0.0531155,-0.000434573,-0.00665276,0.0128399,0.0342546,23.7267,0
7.3,4543.6,328.072,57.5604,-2.14597,0,0.00021959,0.0552361,-0.000452597,-0.00664975,0.0155491,-2.17073,32.9945,0
7.35,4559.9,326.292,56.6708,-2.13277,0,8.72988e-05,0.0568579,-0.00047122,-0.00664079,0.0183519,3.7691,37.2998,0
7.4,4576.12,324.517,55.7562,-2.11783,0,0.000433196,0.0594906,-0.000490522,-0.00662636,0.021261,-1.87035,25.7393,0
7.45,4592.23,322.752,54.8128,-2.09762,0,0.000746418,0.0616389,-0.000510548,-0.00659534,0.0242897,-1.58566,29.8893,0
7.5,4608.25,320.993,53.8441,-2.07551,0,0.000684642,0.0639084,-0.000531192,-0.00655792,0.0274288,2.82461,27.5785,0
7.55,4624.17,319.242,52.8576,-2.05241,0,0.000883796,0.0651926,-0.000552297,-0.00651695,0.0306568,-0.424597,37.2363,0
7.6,4640,317.495,51.8606,-2.02306,0,0.00148453,0.0665937,-0.000573677,-0.00645586,0.0339518,-5.33869,35.1465,0
7.65,4655.73,315.75,50.8394,-1.98832,0,0.00159514,0.0696632,-0.000595538,-0.00637686,0.0373587,0.730717,15.8223,0
7.7,4671.36,314.015,49.7912,-1.94906,0,0.00208996,0.071489,-0.000617883,-0.00628257,0.0408879,-3.97919,28.3548,0
7.75,4686.9,312.286,48.7393,-1.90285,0,0.00252621,0.0716229,-0.000640158,-0.0061649,0.044466,-4.55978,47.3139,0
7.8,4702.34,310.557,47.6887,-1.85369,0,0.00252188,0.072867,-0.000662197,-0.00603633,0.0480786,1.9446,32.6684,0
7.85,4717.69,308.83,46.6279,-1.80156,0,0.00296201,0.0745029,-0.000684187,-0.00589673,0.0517632,-3.51788,27.2881,0
7.9,4732.94,307.108,45.5607,-1.74523,0,0.0031308,0.0752967,-0.000705984,-0.00574178,0.0555086,-0.418553,35.7738,0
7.95,4748.1,305.388,44.4916,-1.68696,0,0.00328255,0.0763894,-0.000727452,-0.00557871,0.059301,-0.181706,31.3243,0
