Mach number (​),Reynolds number (​),Thrust (N),Fd,Cd,Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​)
0.374,1.92E+07,0,70.596,0.608,0.608,0.318,0.151,0.138
0.372,1.908E+07,0,69.677,0.607,0.607,0.318,0.151,0.138
0.37,1.895E+07,0,68.769,0.607,0.607,0.318,0.151,0.138
0.368,1.883E+07,0,67.873,0.607,0.607,0.318,0.151,0.138
0.365,1.871E+07,0,66.987,0.607,0.607,0.318,0.151,0.137
0.363,1.859E+07,0,66.112,0.606,0.606,0.318,0.151,0.137
0.361,1.846E+07,0,65.248,0.606,0.606,0.318,0.151,0.137
0.359,1.834E+07,0,64.394,0.606,0.606,0.318,0.151,0.137
0.357,1.822E+07,0,63.55,0.606,0.606,0.318,0.151,0.137
0.355,1.81E+07,0,62.717,0.605,0.605,0.319,0.15,0.136
0.352,1.798E+07,0,61.893,0.605,0.605,0.319,0.15,0.136
0.35,1.787E+07,0,61.08,0.605,0.605,0.319,0.15,0.136
0.348,1.775E+07,0,60.276,0.605,0.605,0.319,0.15,0.136
0.346,1.763E+07,0,59.482,0.604,0.604,0.319,0.15,0.136
0.344,1.751E+07,0,58.696,0.604,0.604,0.319,0.15,0.135
0.342,1.74E+07,0,57.92,0.604,0.604,0.319,0.15,0.135
0.34,1.728E+07,0,57.154,0.604,0.604,0.319,0.15,0.135
0.338,1.717E+07,0,56.396,0.604,0.604,0.319,0.15,0.135
0.336,1.705E+07,0,55.648,0.603,0.603,0.319,0.15,0.135
0.334,1.694E+07,0,54.908,0.603,0.603,0.319,0.15,0.134
0.331,1.683E+07,0,54.178,0.603,0.603,0.319,0.15,0.134
0.329,1.671E+07,0,53.455,0.603,0.603,0.319,0.15,0.134
0.327,1.66E+07,0,52.741,0.602,0.602,0.319,0.149,0.134
0.325,1.649E+07,0,52.035,0.602,0.602,0.319,0.149,0.134
0.323,1.638E+07,0,51.338,0.602,0.602,0.319,0.149,0.134
0.321,1.627E+07,0,50.648,0.602,0.602,0.319,0.149,0.133
0.319,1.616E+07,0,49.966,0.602,0.602,0.319,0.149,0.133
0.317,1.605E+07,0,49.292,0.602,0.602,0.319,0.149,0.133
0.315,1.594E+07,0,48.627,0.601,0.601,0.319,0.149,0.133
0.313,1.583E+07,0,47.969,0.601,0.601,0.319,0.149,0.133
0.311,1.572E+07,0,47.319,0.601,0.601,0.319,0.149,0.133
0.309,1.562E+07,0,46.676,0.601,0.601,0.319,0.149,0.132
0.307,1.551E+07,0,46.04,0.601,0.601,0.32,0.149,0.132
0.305,1.54E+07,0,45.412,0.6,0.6,0.32,0.149,0.132
0.303,1.53E+07,0,44.79,0.6,0.6,0.32,0.149,0.132
0.302,1.519E+07,0,44.176,0.6,0.6,0.32,0.149,0.132
0.3,1.509E+07,0,43.569,0.6,0.6,0.32,0.148,0.132
0.298,1.498E+07,0,42.969,0.6,0.6,0.32,0.148,0.132
0.296,1.488E+07,0,42.375,0.599,0.599,0.32,0.148,0.131
0.294,1.478E+07,0,41.788,0.599,0.599,0.32,0.148,0.131
0.292,1.467E+07,0,41.208,0.599,0.599,0.32,0.148,0.131
0.29,1.457E+07,0,40.635,0.599,0.599,0.32,0.148,0.131
0.288,1.447E+07,0,40.067,0.599,0.599,0.32,0.148,0.131
0.286,1.437E+07,0,39.507,0.599,0.599,0.32,0.148,0.131
0.284,1.426E+07,0,38.952,0.598,0.598,0.32,0.148,0.131
0.282,1.416E+07,0,38.404,0.598,0.598,0.32,0.148,0.13
0.28,1.406E+07,0,37.862,0.598,0.598,0.32,0.148,0.13
0.279,1.396E+07,0,37.327,0.598,0.598,0.32,0.148,0.13
0.277,1.386E+07,0,36.797,0.598,0.598,0.32,0.148,0.13
0.275,1.376E+07,0,36.272,0.598,0.598,0.32,0.148,0.13
0.273,1.366E+07,0,35.754,0.598,0.598,0.32,0.148,0.13
0.271,1.357E+07,0,35.241,0.597,0.597,0.32,0.148,0.13
0.269,1.347E+07,0,34.735,0.597,0.597,0.32,0.148,0.129
0.267,1.337E+07,0,34.234,0.597,0.597,0.32,0.148,0.129
0.266,1.327E+07,0,33.739,0.597,0.597,0.32,0.147,0.129
0.264,1.318E+07,0,33.249,0.597,0.597,0.32,0.147,0.129
0.262,1.308E+07,0,32.765,0.597,0.597,0.32,0.147,0.129
0.26,1.298E+07,0,32.286,0.596,0.596,0.32,0.147,0.129
0.258,1.289E+07,0,31.812,0.596,0.596,0.32,0.147,0.129
0.257,1.279E+07,0,31.344,0.596,0.596,0.32,0.147,0.129
0.255,1.27E+07,0,30.881,0.596,0.596,0.32,0.147,0.128
0.253,1.26E+07,0,30.423,0.596,0.596,0.321,0.147,0.128
0.251,1.251E+07,0,29.97,0.596,0.596,0.321,0.147,0.128
0.249,1.241E+07,0,29.522,0.596,0.596,0.321,0.147,0.128
0.248,1.232E+07,0,29.079,0.596,0.596,0.321,0.147,0.128
0.246,1.223E+07,0,28.641,0.595,0.595,0.321,0.147,0.128
0.244,1.213E+07,0,28.208,0.595,0.595,0.321,0.147,0.128
0.242,1.204E+07,0,27.78,0.595,0.595,0.321,0.147,0.128
0.24,1.195E+07,0,27.358,0.595,0.595,0.321,0.147,0.128
0.239,1.186E+07,0,26.94,0.595,0.595,0.321,0.147,0.127
0.237,1.177E+07,0,26.526,0.595,0.595,0.321,0.147,0.127
0.235,1.167E+07,0,26.117,0.595,0.595,0.321,0.147,0.127
0.233,1.158E+07,0,25.713,0.594,0.594,0.321,0.147,0.127
0.232,1.149E+07,0,25.314,0.594,0.594,0.321,0.147,0.127
0.23,1.14E+07,0,24.918,0.594,0.594,0.321,0.146,0.127
0.228,1.131E+07,0,24.528,0.594,0.594,0.321,0.146,0.127
0.227,1.122E+07,0,24.141,0.594,0.594,0.321,0.146,0.127
0.225,1.113E+07,0,23.759,0.594,0.594,0.321,0.146,0.127
0.223,1.104E+07,0,23.381,0.594,0.594,0.321,0.146,0.126
0.221,1.096E+07,0,23.008,0.594,0.594,0.321,0.146,0.126
0.22,1.087E+07,0,22.639,0.594,0.594,0.321,0.146,0.126
0.218,1.078E+07,0,22.274,0.593,0.593,0.321,0.146,0.126
0.216,1.069E+07,0,21.912,0.593,0.593,0.321,0.146,0.126
0.215,1.06E+07,0,21.555,0.593,0.593,0.321,0.146,0.126
0.213,1.052E+07,0,21.202,0.593,0.593,0.321,0.146,0.126
0.211,1.043E+07,0,20.853,0.593,0.593,0.321,0.146,0.126
0.209,1.034E+07,0,20.508,0.593,0.593,0.321,0.146,0.126
0.208,1.026E+07,0,20.167,0.593,0.593,0.321,0.146,0.126
0.206,1.017E+07,0,19.829,0.593,0.593,0.321,0.146,0.126
0.204,1.008E+07,0,19.496,0.593,0.593,0.321,0.146,0.125
0.203,9.998E+06,0,19.166,0.592,0.592,0.321,0.146,0.125
0.201,9.912E+06,0,18.84,0.592,0.592,0.321,0.146,0.125
0.199,9.827E+06,0,18.518,0.592,0.592,0.321,0.146,0.125
0.198,9.742E+06,0,18.199,0.592,0.592,0.321,0.146,0.125
0.196,9.657E+06,0,17.884,0.592,0.592,0.321,0.146,0.125
0.194,9.572E+06,0,17.573,0.592,0.592,0.321,0.146,0.125
0.193,9.488E+06,0,17.265,0.592,0.592,0.321,0.146,0.125
0.191,9.404E+06,0,16.961,0.592,0.592,0.321,0.146,0.125
0.189,9.32E+06,0,16.66,0.592,0.592,0.321,0.146,0.125
0.188,9.236E+06,0,16.363,0.592,0.592,0.321,0.146,0.125
0.186,9.153E+06,0,16.07,0.591,0.591,0.321,0.146,0.125
0.185,9.07E+06,0,15.779,0.591,0.591,0.321,0.145,0.124
0.183,8.987E+06,0,15.493,0.591,0.591,0.322,0.145,0.124
0.181,8.904E+06,0,15.21,0.591,0.591,0.322,0.145,0.124
0.18,8.822E+06,0,14.93,0.591,0.591,0.322,0.145,0.124
0.178,8.74E+06,0,14.653,0.591,0.591,0.322,0.145,0.124
0.176,8.657E+06,0,14.379,0.591,0.591,0.322,0.145,0.124
0.175,8.576E+06,0,14.109,0.591,0.591,0.322,0.145,0.124
0.173,8.494E+06,0,13.842,0.591,0.591,0.322,0.145,0.124
0.171,8.412E+06,0,13.578,0.591,0.591,0.322,0.145,0.124
0.17,8.331E+06,0,13.317,0.591,0.591,0.322,0.145,0.124
0.168,8.25E+06,0,13.06,0.591,0.591,0.322,0.145,0.124
0.167,8.169E+06,0,12.806,0.59,0.59,0.322,0.145,0.124
0.165,8.088E+06,0,12.554,0.59,0.59,0.322,0.145,0.124
0.163,8.008E+06,0,12.306,0.59,0.59,0.322,0.145,0.123
0.162,7.928E+06,0,12.061,0.59,0.59,0.322,0.145,0.123
0.16,7.848E+06,0,11.819,0.59,0.59,0.322,0.145,0.123
0.159,7.768E+06,0,11.58,0.59,0.59,0.322,0.145,0.123
0.157,7.688E+06,0,11.344,0.59,0.59,0.322,0.145,0.123
0.156,7.608E+06,0,11.111,0.59,0.59,0.322,0.145,0.123
0.154,7.529E+06,0,10.88,0.59,0.59,0.322,0.145,0.123
0.152,7.45E+06,0,10.653,0.59,0.59,0.322,0.145,0.123
0.151,7.371E+06,0,10.429,0.59,0.59,0.322,0.145,0.123
0.149,7.292E+06,0,10.207,0.59,0.59,0.322,0.145,0.123
0.148,7.213E+06,0,9.988,0.59,0.59,0.322,0.145,0.123
0.146,7.135E+06,0,9.773,0.589,0.589,0.322,0.145,0.123
0.144,7.057E+06,0,9.56,0.589,0.589,0.322,0.145,0.123
0.143,6.978E+06,0,9.349,0.589,0.589,0.322,0.145,0.123
0.141,6.9E+06,0,9.141,0.589,0.589,0.322,0.145,0.123
0.14,6.822E+06,0,8.937,0.589,0.589,0.322,0.145,0.123
0.138,6.745E+06,0,8.735,0.589,0.589,0.322,0.145,0.122
0.137,6.667E+06,0,8.536,0.589,0.589,0.322,0.145,0.122
0.135,6.59E+06,0,8.339,0.589,0.589,0.322,0.145,0.122
0.134,6.513E+06,0,8.145,0.589,0.589,0.322,0.145,0.122
0.132,6.436E+06,0,7.953,0.589,0.589,0.322,0.145,0.122
0.13,6.359E+06,0,7.765,0.589,0.589,0.322,0.145,0.122
0.129,6.282E+06,0,7.578,0.589,0.589,0.322,0.145,0.122
0.127,6.205E+06,0,7.395,0.589,0.589,0.322,0.145,0.122
0.126,6.129E+06,0,7.214,0.589,0.589,0.322,0.144,0.122
0.124,6.052E+06,0,7.036,0.589,0.589,0.322,0.144,0.122
0.123,5.976E+06,0,6.86,0.588,0.589,0.322,0.144,0.122
0.121,5.9E+06,0,6.687,0.588,0.588,0.322,0.144,0.122
0.12,5.824E+06,0,6.516,0.588,0.588,0.322,0.144,0.122
0.118,5.749E+06,0,6.348,0.588,0.588,0.322,0.144,0.122
0.117,5.673E+06,0,6.182,0.588,0.588,0.322,0.144,0.122
0.115,5.598E+06,0,6.019,0.588,0.588,0.322,0.144,0.122
0.113,5.522E+06,0,5.858,0.588,0.588,0.322,0.144,0.122
0.112,5.447E+06,0,5.7,0.588,0.588,0.322,0.144,0.122
0.11,5.372E+06,0,5.544,0.588,0.588,0.322,0.144,0.122
0.109,5.297E+06,0,5.39,0.588,0.588,0.322,0.144,0.122
0.107,5.222E+06,0,5.239,0.588,0.588,0.322,0.144,0.121
0.106,5.147E+06,0,5.091,0.588,0.588,0.322,0.144,0.121
0.104,5.073E+06,0,4.944,0.588,0.588,0.322,0.144,0.121
0.103,4.998E+06,0,4.801,0.588,0.588,0.322,0.144,0.121
0.101,4.924E+06,0,4.659,0.588,0.588,0.322,0.144,0.121
0.1,4.85E+06,0,4.519,0.588,0.588,0.322,0.144,0.121
0.098,4.775E+06,0,4.382,0.588,0.588,0.322,0.144,0.121
0.097,4.702E+06,0,4.248,0.588,0.588,0.322,0.144,0.121
0.095,4.628E+06,0,4.115,0.588,0.588,0.322,0.144,0.121
0.094,4.554E+06,0,3.985,0.588,0.588,0.322,0.144,0.121
0.092,4.48E+06,0,3.857,0.588,0.588,0.322,0.144,0.121
0.091,4.406E+06,0,3.731,0.587,0.587,0.322,0.144,0.121
0.089,4.333E+06,0,3.608,0.587,0.587,0.322,0.144,0.121
0.088,4.259E+06,0,3.486,0.587,0.587,0.322,0.144,0.121
0.086,4.186E+06,0,3.368,0.587,0.587,0.322,0.144,0.121
0.085,4.113E+06,0,3.251,0.587,0.587,0.322,0.144,0.121
0.083,4.04E+06,0,3.137,0.587,0.587,0.322,0.144,0.121
0.082,3.967E+06,0,3.025,0.587,0.587,0.322,0.144,0.121
0.08,3.894E+06,0,2.914,0.587,0.587,0.322,0.144,0.121
0.079,3.821E+06,0,2.806,0.587,0.587,0.322,0.144,0.121
0.077,3.748E+06,0,2.701,0.587,0.587,0.322,0.144,0.121
0.076,3.676E+06,0,2.597,0.587,0.587,0.322,0.144,0.121
0.074,3.603E+06,0,2.496,0.587,0.587,0.322,0.144,0.121
0.073,3.531E+06,0,2.397,0.587,0.587,0.322,0.144,0.121
0.071,3.458E+06,0,2.3,0.587,0.587,0.322,0.144,0.121
0.07,3.386E+06,0,2.205,0.587,0.587,0.322,0.144,0.121
0.068,3.314E+06,0,2.112,0.587,0.587,0.322,0.144,0.121
0.067,3.242E+06,0,2.022,0.587,0.587,0.322,0.144,0.121
0.065,3.17E+06,0,1.933,0.587,0.587,0.322,0.144,0.121
0.064,3.098E+06,0,1.847,0.587,0.587,0.322,0.144,0.121
0.062,3.027E+06,0,1.763,0.587,0.588,0.322,0.144,0.121
0.061,2.955E+06,0,1.682,0.587,0.588,0.322,0.144,0.12
0.06,2.884E+06,0,1.602,0.587,0.588,0.322,0.144,0.12
0.058,2.812E+06,0,1.524,0.587,0.588,0.322,0.144,0.12
0.057,2.741E+06,0,1.449,0.587,0.588,0.322,0.144,0.12
0.055,2.67E+06,0,1.375,0.587,0.589,0.322,0.144,0.12
0.054,2.599E+06,0,1.304,0.587,0.589,0.322,0.144,0.12
0.052,2.528E+06,0,1.235,0.587,0.59,0.322,0.144,0.12
0.051,2.457E+06,0,1.168,0.587,0.59,0.322,0.144,0.12
0.049,2.386E+06,0,1.102,0.587,0.591,0.323,0.144,0.12
0.048,2.316E+06,0,1.04,0.587,0.591,0.323,0.144,0.12
0.046,2.245E+06,0,0.979,0.587,0.592,0.323,0.144,0.12
